rdt_id,cause_group,rdt_lines,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,long_disruption
62774,rolling stock,Almere Oostvaarders - Utrecht Centraal,13,Saturday,10,1,8,1.0,1
62775,infrastructure,"Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport",15,Saturday,10,1,4,2.0,1
62776,infrastructure,Schiphol Airport - Utrecht Centraal,15,Saturday,10,1,5,1.0,1
62777,infrastructure,"Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport",15,Saturday,10,1,5,2.0,1
62778,infrastructure,Leiden Centraal - Schiphol Airport,15,Saturday,10,1,4,1.0,0
62779,infrastructure,Rotterdam Centraal - Schiphol Airport (HSL),15,Saturday,10,1,2,1.0,0
62780,external,"Almere Oostvaarders - Utrecht Centraal, Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport",17,Saturday,10,1,3,3.0,0
62781,infrastructure,Heerlen - Sittard,19,Saturday,10,1,7,1.0,1
62782,infrastructure,Heerlen - Sittard,6,Sunday,10,1,7,1.0,1
62783,rolling stock,Amersfoort - Zwolle,8,Sunday,10,1,7,1.0,0
62784,rolling stock,Breda - Dordrecht,9,Sunday,10,1,3,1.0,0
62785,infrastructure,Breda - Rotterdam Centraal (HSL),9,Sunday,10,1,2,1.0,1
62786,external,"Amsterdam Centraal - Utrecht Centraal, Amsterdam Centraal - Woerden",10,Sunday,10,1,8,2.0,0
62787,rolling stock,Maastricht - Sittard,11,Sunday,10,1,5,1.0,0
62788,external,Rotterdam Centraal - Utrecht Centraal,13,Sunday,10,1,12,1.0,0
62790,rolling stock,Dordrecht - Rotterdam Centraal,16,Sunday,10,1,8,1.0,0
62791,rolling stock,Roermond - Venlo,17,Sunday,10,1,2,1.0,0
62792,external,Dordrecht - Geldermalsen,17,Sunday,10,1,2,1.0,0
62793,external,Dordrecht - Rotterdam Centraal,18,Sunday,10,1,5,1.0,1
62794,external,Breda - Rotterdam Centraal (HSL),18,Sunday,10,1,2,1.0,1
62795,logistical,"'s-Hertogenbosch - Tilburg, Breda - Tilburg",18,Sunday,10,1,6,2.0,0
62796,external,Den Haag HS - Rotterdam Centraal,18,Sunday,10,1,7,1.0,1
62797,rolling stock,Breda - Tilburg,19,Sunday,10,1,4,1.0,0
62798,external,"Amsterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal",21,Sunday,10,1,4,2.0,1
